playlist_position,curriculum_order,module,module_name,priority,guest,organisation,part,canonical_episode,published,minutes,domains,core_mental_model,transferable_lesson,prerequisites,redundancy_overlap,in_top_10,in_top_25,video_id,url,youtube_title
52,55,M7,Organisation,B,Girish Mathrubootham,Freshworks,2,S2E19,2024-03-23,34,Organisation; Thinking; Personal OS,Opening trade secrets to competitors; decision-making capacity is built by deciding early,"The argument that being allowed to make your own decisions as a child compounds into adult decision-making ability. Interesting, contextual.",Watch Part 1 first,Personal battery overlaps every other Part 2,,,1vcU8-Qiyqo,https://www.youtube.com/watch?v=1vcU8-Qiyqo,"Girish Mathrubootham, Freshworks | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
53,25,M4,Strategy,S,Harsh Mariwala,Marico,1,S2E18,2024-03-19,63,Strategy; Business economics; India,Capture the margin you create - branding a commodity,"Fifty years of value-capture reasoning in one episode: Bombay Oil sold 15-litre tins that shopkeepers repacked at a large premium, so Mariwala built Parachute and took that margin back. The clearest lesson on branding and value capture in the series.",None,Commodity-to-brand logic overlaps Kanwal Singh P1 (M6) on the consumer-brands thesis,yes,yes,a6HjA5zFX4I,https://www.youtube.com/watch?v=a6HjA5zFX4I,"Harsh Mariwala, Marico | Rohin Dharmakumar | First Principles by The Ken"
54,54,M7,Organisation,A,Girish Mathrubootham,Freshworks,1,S2E17,2024-03-14,66,Organisation; Product; Leadership,"Do not measure winning by numbers; product manager first, CEO second","Wealth-sharing at scale (500 employees made crorepatis at the NASDAQ listing) as a deliberate organisational choice, not an accident of the cap table.",None,Product-led founder identity overlaps Rohit Chennamaneni (M8),,,GpkhTaCsHjk,https://www.youtube.com/watch?v=GpkhTaCsHjk,"Girish Mathrubootham, Freshworks | Rohin Dharmakumar | First Principles by The Ken"
55,7,M1,Thinking / First Principles,A,Vaibhav Gupta,Udaan,2,S2E16,2024-03-14,54,Thinking,Refusing pattern-matching: do not identify problems by analogy,The core anti-heuristic of the whole series. Pattern-matching is how experienced operators import the wrong problem definition. Pairs directly against Meesho's problem-first method (M3).,Watch Part 1 first,"Thematically the mirror of Vidit Aatrey P1 (M3) - watch both, they reinforce rather than repeat",,yes,kDdzAwxPuT4,https://www.youtube.com/watch?v=kDdzAwxPuT4,"Vaibhav Gupta, Udaan | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
56,77,APX,Appendix - supercuts & specials,C,"Five founders on trust, patience and careers",-,-,,2024-02-24,86,Specials,"Creating trust, patience and careers in organisations",Culture-themed supercut. The recurring word is patience. All five have full episodes on the playlist.,None,"Redundant with M7 once you have watched Krish Subramanian, Rahul Matthan and Kalpana Morparia",,,Xc8jMJg4ciw,https://www.youtube.com/watch?v=Xc8jMJg4ciw,"Five founders on creating trust, patience and careers in their orgs | First Principles by The Ken"
57,18,M2,Entrepreneurship,B,Aneesh Reddy,Capillary Technologies,2,S2E15,2024-02-17,60,Leadership; Personal OS,Being called a 'bully' as leadership feedback,Honest on receiving hard feedback about your own management style. Contextual to the person.,Watch Part 1 first,Founder-maturation arc overlaps Jaydeep Barman P2 (M4),,,lupPq8-g7Oc,https://www.youtube.com/watch?v=lupPq8-g7Oc,"Aneesh Reddy, Capillary Technologies | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
58,6,M1,Thinking / First Principles,A,Vaibhav Gupta,Udaan,1,S2E14,2024-02-09,67,Thinking; Distribution; Organisation,"Execution playbooks - codify the repeatable, don't heroise it","Scale is a playbook problem, not a talent problem. Work backwards from one customer's real cycle (a Mysore shopkeeper's 15-day restock) rather than from a market-size slide.",None,B2B distribution overlaps Karthik Jayaraman (M5); execution/process overlaps Viren Shetty (M6),,,Qwo47t3YoPo,https://www.youtube.com/watch?v=Qwo47t3YoPo,"Vaibhav Gupta, Udaan | Rohin Dharmakumar | First Principles by The Ken"
59,47,M6,Business economics,B,Viren Shetty,Narayana Health,2,S2E13,2024-02-02,66,Personal OS; Leadership,A career free of 'groundhog days',"On pattern recognition as an inherited-but-different trait, and designing work that keeps changing. Contextual.",Watch Part 1 first,Personal battery overlaps every other Part 2,,,Soktrce06Bo,https://www.youtube.com/watch?v=Soktrce06Bo,"Viren Shetty, Narayana Health | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
60,17,M2,Entrepreneurship,A,Aneesh Reddy,Capillary Technologies,1,S2E12,2024-01-27,77,Entrepreneurship; Business economics; Failure,Valuation is a promise you then have to fund,"The most candid account in the series of how an expensive round destroys strategy: leadership spends years justifying the number, burn follows, co-founder communication breaks. 'Dreaming in instalments' is a useful planning frame.",None,Failure/near-death theme overlaps Ritesh Agarwal (M4/M8) and Riyaaz Amlani (M5),,yes,0y4ti3EpeOk,https://www.youtube.com/watch?v=0y4ti3EpeOk,"Aneesh Reddy, Capillary Technologies | Rohin Dharmakumar | First Principles by The Ken"
61,34,M4,Strategy,B,Soumya Rajan,Waterfield Advisors,2,S2E11,2024-01-11,55,Strategy; Leadership; Personal OS,Advisory vs distribution: where the defensible annuity actually sits,"Good on moats and annuity revenue; the rest is legacy, letting go and the personal battery.",Watch Part 1 first,Moat discussion partially repeats Part 1,,,ldztoNKiFrg,https://www.youtube.com/watch?v=ldztoNKiFrg,"Soumya Rajan, Waterfield Advisors | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
62,46,M6,Business economics,A,Viren Shetty,Narayana Health,1,S2E10,2024-01-05,69,Business economics; India; Product,Healthcare as an assembly line - compounding micro-improvements,"Scale economics through process: tweak every small step of a long chain rather than seeking one breakthrough. The clearest systems-thinking episode, and directly relevant to any affordability-constrained Indian category.",None,Process/execution overlaps Vaibhav Gupta P1 (M1); affordability overlaps Smita Deorah (M9),,,ABicREe6UK4,https://www.youtube.com/watch?v=ABicREe6UK4,"Viren Shetty, Narayana Health | Rohin Dharmakumar | First Principles by The Ken"
63,60,M8,Leadership,A,Ritesh Agarwal,OYO,2,S2E9,2024-01-03,62,Leadership; Thinking; Personal OS,The risk of NOT doing something; peacetime CEO despite many wars,"Unusually reflective on regret, on assessing the risk of inaction, and on the transition to a calmer, more deliberate founder-CEO after a genuine near-death.",Watch Part 1 (M4) first,Crisis leadership overlaps Riyaaz Amlani (M5) and Aneesh Reddy P1 (M2),,yes,VXE5GaYTwbU,https://www.youtube.com/watch?v=VXE5GaYTwbU,"Ritesh Agarwal, OYO | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
64,33,M4,Strategy,A,Soumya Rajan,Waterfield Advisors,1,S2E8,2023-12-22,66,Strategy; Business models; Business economics,"Align your revenue model with the customer's interest (fees, not commissions)","A contrarian bet on incentive alignment in a market built on hidden commissions, taken against scepticism from peers, clients and family. The cleanest business-model-as-moat case in the series.",None,"Incentive design overlaps Rahul Matthan P1 (M7) - Matthan does it internally, Rajan externally",,yes,MP8yv7CX5s0,https://www.youtube.com/watch?v=MP8yv7CX5s0,"Soumya Rajan, Waterfield Advisors | Rohin Dharmakumar | First Principles by The Ken"
65,41,M5,Distribution,B,Karthik Jayaraman,WayCool,2,S2E7,2023-12-14,42,Entrepreneurship; Leadership; Personal OS,Starting up at 40 - the mid-life founder,Good on building leaders and on career sequencing; overlaps the standard personal battery.,Watch Part 1 first,Personal battery overlaps every other Part 2,,,BvNh2MrJMSA,https://www.youtube.com/watch?v=BvNh2MrJMSA,"Karthik Jayaraman, WayCool | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
66,26,M4,Strategy,A,Ritesh Agarwal,OYO,1,S2E6,2023-12-07,86,Strategy; Distribution; India,"Supply-side reframe: the problem is utilisation, not supply","India is not short of hotel rooms; it is short of usable, trustworthy, monetised ones. Reframing a demand problem as a utilisation problem is portable to almost any asset-heavy Indian category.",None,Asset-utilisation model overlaps Riyaaz Amlani P1 (M5) on real estate,,,ZOF4OnuR4zY,https://www.youtube.com/watch?v=ZOF4OnuR4zY,"Ritesh Agarwal, OYO | Rohin Dharmakumar | First Principles by The Ken"
67,3,M0,Orientation (optional),A,"Five founders on childhood and choices (Kunal Shah, Velamakanni, Screwvala)",-,-,,2023-11-23,86,Specials,"Childhood, choices, and what drove them to start up","The only playlist access to Kunal Shah (CRED), Srikanth Velamakanni (Fractal) and Ronnie Screwvala (UpGrad) - three of the most-requested names in Indian tech. Founder-formation material.",None,"Gaurav Munjal and Smita Deorah have full episodes (M4, M9); the other three do not",,,IAfcj2GwgBE,https://www.youtube.com/watch?v=IAfcj2GwgBE,"Five founders on their childhood, choices and what drove them to start up | First Principles The Ken"
68,40,M5,Distribution,A,Karthik Jayaraman,WayCool,1,S2E5,2023-11-20,82,Distribution; Strategy; India,Demand-backward supply chains; innovation does not require disruption,"Predict retail demand, then work backwards to source supply - the inverse of the usual farm-to-fork framing. Also a useful corrective to disruption-as-default.",None,"Supply-chain overlap with Sahil Barua (M1), Utham Gowda (M2), Vaibhav Gupta (M1) - pick two of the four",,,YTwdGKLHZGo,https://www.youtube.com/watch?v=YTwdGKLHZGo,"Karthik Jayaraman, WayCool | Rohin Dharmakumar | First Principles by The Ken"
69,22,M3,Product,A,Niraj Singh,Spinny,-,,2023-11-05,105,Product; India; Strategy,Trust is the product in a low-trust market,"In an overcrowded, overfunded category, the durable differentiator was guarantee and trust rather than price or selection. The generalisable move: find the transaction friction everyone treats as unavoidable.",None,"Trust-as-moat overlaps Yashish Dahiya (M5) - watch both, different mechanisms (guarantee vs human contact)",,yes,W2vcsEKdDXM,https://www.youtube.com/watch?v=W2vcsEKdDXM,"Niraj Singh, Spinny | Rohin Dharmakumar | First Principles by The Ken"
70,21,M3,Product,S,Lalit Keshre,Groww,-,,2023-10-12,97,Product; Distribution; Business economics; India,Revealed preference: what customers say is not what customers do,"Unusually dense: the one metric Groww watches, cracking delayed monetisation, why users in Indore travel for hours to meet the team, 'discipline is overrated', and a simple repeatable hiring process. Best single episode on customer insight in the series.",None,Delayed monetisation overlaps Aloke Bajpai P1 (M9); Bharat consumer overlaps Bisu P1 (M6),yes,yes,1PyEkTpor9A,https://www.youtube.com/watch?v=1PyEkTpor9A,"Lalit Keshre, Groww | Rohin Dharmakumar | First Principles by The Ken"
71,76,APX,Appendix - supercuts & specials,B,"Five founders on lasting products (Deep Kalra, Ruchi Kalra, Srikanth Iyer)",-,-,,2023-10-02,101,Specials,Building a unique product and making it last,"Contains Deep Kalra (MakeMyTrip), Ruchi Kalra (Oxyzo) and Srikanth Iyer (HomeLane), whose full episodes are NOT on this playlist - that is the reason to watch it.",None,"Overlaps M3 themes, but carries three otherwise-unavailable guests",,,1Mrl6Jfk-z8,https://www.youtube.com/watch?v=1Mrl6Jfk-z8,Five founders on building a unique product and making it last | First Principles by The Ken
72,28,M4,Strategy,A,Radhika Gupta,Edelweiss AMC,-,,2023-09-14,92,Strategy; Leadership; Personal OS,Smallness as a strategic asset - take the bets incumbents cannot,Competing in a 50-player market by choosing bets larger rivals will not make (Bharat Bonds took them from rank 30 to 13). Also the best practical material on workplace politics and separating criticism from intent.,None,Challenger strategy overlaps Archit Gupta (M4); the personal-resilience content overlaps M10,,,jGIRVFEKUR0,https://www.youtube.com/watch?v=jGIRVFEKUR0,"Radhika Gupta, Edelweiss | Rohin Dharmakumar | First Principles by The Ken"
73,50,M7,Organisation,S,MN Srinivasu,BillDesk,-,,2023-08-31,91,Organisation; Business economics; Long-term thinking,"Organisational minimalism - scale without hierarchy, designations or a CEO","Three co-founders at one desk for 20+ years, no formal hierarchy or titles, ~800 people handling $150B in payments, profitable for 15 years. The strongest counter-example to startup orthodoxy in the entire series.",None,Post-founder / no-CEO theme overlaps Rohit Chennamaneni (M8) and Alok Mittal P2 (M8) - Srinivasu is the extreme case,,yes,z5EJatwZBBY,https://www.youtube.com/watch?v=z5EJatwZBBY,"MN Srinivasu, BillDesk | Rohin Dharmakumar | First Principles by The Ken"
74,32,M4,Strategy,A,Archit Gupta,Clear (ClearTax),-,,2023-08-17,102,Strategy; India; Business models,Ride the regulatory wave - policy as a distribution channel,"A B2C-to-B2B pivot timed to India's GST-era formalisation. The transferable idea: regulation that forces compliance manufactures demand, and the winner is whoever is already built when it lands.",None,Formalisation thesis overlaps Manish Sabharwal (M9) - Archit is the company-level instance of Manish's macro argument,,,mLpAdqXDxic,https://www.youtube.com/watch?v=mLpAdqXDxic,"Archit Jain, Clear | Rohin Dharmakumar | First Principles by The Ken"
75,39,M5,Distribution,A,Yashish Dahiya,Policybazaar,-,,2023-08-07,95,Distribution; India; Product,High-consideration purchases still need humans - the unfashionable channel wins,"Phone calls sit at the core of the world's largest insurance comparison platform, in an era that declared call centres dead. The transferable move: test the channel your category's orthodoxy has written off.",None,Trust mechanism differs from Niraj Singh (M3) - guarantee vs human contact; watch both,,yes,rYd45wcgIDE,https://www.youtube.com/watch?v=rYd45wcgIDE,"Yashish Dahiya, Policybazaar | Rohin Dharmakumar | First Principles by The Ken"
76,63,M8,Leadership,A,Varun Dua,Acko,-,,2023-07-20,120,Leadership; Succession; Founder psychology,"The CEO title is a milestone, not a summit","A founder who hired a seasoned industry leader to replace himself as CEO, and explains why. Directly practicable for anyone building something meant to outlast them. Also honest that he began with no plan and no entrepreneurial intent.","Alok Mittal P2 first - Dua is the practice, Mittal the thesis",Succession theme shared with Alok Mittal P2 and MN Srinivasu (M7),,yes,mOLOZFk-bAE,https://www.youtube.com/watch?v=mOLOZFk-bAE,"Varun Dua, Acko | Rohin Dharmakumar | First Principles by The Ken"
77,2,M0,Orientation (optional),A,"Five CEOs on journeys and failures (Razorpay, SUGAR, Pine Labs, NoBroker, Ather)",-,-,,2023-07-06,105,Specials,"Journeys, struggles, successes and failures (episodes 6-10)","The only playlist access to Harshil Mathur, Vineeta Singh, Amrish Rau, Amit Agarwal and Tarun Mehta at any length.",None,No full episodes for any of these five on this playlist - zero redundancy,,,lutYPELnWJE,https://www.youtube.com/watch?v=lutYPELnWJE,"Five CEOs on their journeys, struggles, successes, and failures | First Principles by The Ken"
78,53,M7,Organisation,A,Krish Subramanian,Chargebee,-,,2023-06-08,92,Organisation; Leadership,"'Move the chairs, get out of the way of good people'","Delegation framed as friction removal, plus an explicit treatment of how to resist the desire to always be right - a rare, directly practicable leadership skill. Also why an Indian unicorn is headquartered in Amsterdam.",None,Delegation overlaps Saahil Goel P2 ('you can't manage people'); culture overlaps Alok Mittal P1 (M8),,,4qN5jJ9JLHI,https://www.youtube.com/watch?v=4qN5jJ9JLHI,"Krish Subramanian, Chargebee | Rohin Dharmakumar | First Principles by The Ken"
79,70,M9,India,A,Smita Deorah,LEAD School,-,,2023-05-25,110,India; Thinking; Product,"Attribution discipline: her daughter was not special, she was privileged",The rarest reasoning move in the playlist - reading your own positive result as evidence about access rather than talent - applied to 280 million schoolchildren of whom only 5-8 million get a quality education. Also a hard look at willingness to pay in affordable private schools.,None,Affordability-at-scale overlaps Viren Shetty P1 (M6); Bharat pricing overlaps Bisu P1 (M6),,,29H06CtsJg8,https://www.youtube.com/watch?v=29H06CtsJg8,"Smita Deorah, LEAD School | Rohin Dharmakumar | First Principles by The Ken"
80,27,M4,Strategy,A,Gaurav Munjal,Unacademy,-,,2023-05-11,93,Strategy; Personal OS; Product,Define the category you are actually in ('Unacademy is not in the education business'),"Strategic inflection points (Grove) applied in practice, plus teachers as missionaries vs mercenaries - an incentive lesson about who your supply side really is. Closes with a deep-work routine.",None,Category-definition overlaps Jaydeep Barman P1 (M4); creator-supply economics is unique here,,,TeEhRujFJqk,https://www.youtube.com/watch?v=TeEhRujFJqk,"Gaurav Munjal, Unacademy | Rohin Dharmakumar | First Principles by The Ken"
